"Date","Demographic_category","Administered_Dose1","Administered_Dose1_pct_known","Administered_Dose1_pct_US","Administered_Dose2","Administered_Dose2_pct_known","Administered_Dose2_pct_US","Series_Complete_Yes","Series_Complete_Pop_Pct_known","Series_Complete_Pop_Pct_US","census","Administered_Dose1_Last14Days","Administered_Dose1_pct_known_Last14Days","Series_Complete_Yes_Last14Days","Series_Complete_Pop_Pct_known_Last14Days","Booster_Doses_Yes","Booster_Doses_Pop_Pct_known","Booster_Doses_Pop_Pct_US","Booster_Doses_Yes_Last14Days","Booster_Doses_Pop_Pct_known_Last14Days","Series_Complete_Eligible_Pct","Second_Booster","Second_Booster_Pop_Pct_known","Second_Booster_Pop_Pct_US","Second_Booster_Last14Days","Second_Booster_Pop_Pct_known_Last14Days","Second_Booster_Eligible_Pct"
"2022-10-12","Age_known",265102506,99.9,99.9,216032324,99.9,99.9,226198513,99.9,99.9,,454343,99.9,376849,99.9,110709366,99.9,99.9,493142,99.9,99.9,25623483,99.9,99.9,1071735,99.9,99.9
"2022-10-12","Age_unknown",8983,0,0,1226,0,0,2242,0,0,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2022-10-12","Ages_<2yrs",397362,0.1,0.1,234787,0.1,0.1,132673,0.1,0.1,7674438,15151,3.3,13969,3.7,,,,,,,,,,,,
"2022-10-12","Ages_02-04_yrs",965544,0.4,0.4,678709,0.3,0.3,383944,0.2,0.2,12069353,27175,6,37407,9.9,,,,,,,,,,,,
"2022-10-12","Ages_05-11_yrs",11103465,4.2,4.2,9095297,4.2,4.2,9074774,4,4,28744900,20064,4.4,19658,5.2,1413478,1.3,1.3,29692,6,4.2,,,,,,
"2022-10-12","Ages_12-17_yrs",17995327,6.8,6.8,15369732,7.1,7.1,15394329,6.8,6.8,25304508,16264,3.6,12235,3.2,4510305,4.1,4.1,33672,6.8,7.1,,,,,,
"2022-10-12","Ages_18-24_yrs",24630090,9.3,9.3,18574378,8.6,8.6,20032814,8.9,8.9,30585426,36955,8.1,22482,6,6847783,6.2,6.2,22725,4.6,9.2,,,,,,
"2022-10-12","Ages_25-49_yrs",91706611,34.6,34.6,72294637,33.5,33.5,77550587,34.3,34.3,109178346,140838,31,102597,27.2,32183692,29.1,29.1,118481,24,35.7,,,,,,
"2022-10-12","Ages_50-64_yrs",60198563,22.7,22.7,49907181,23.1,23.1,52672176,23.3,23.3,63659835,80976,17.8,63190,16.8,29459028,26.6,26.6,111907,22.7,24.2,8786419,34.3,34.3,446286,41.6,44.8
"2022-10-12","Ages_65+_yrs",57935108,21.9,21.9,49789153,23,23,50868579,22.5,22.5,54792026,116143,25.6,104727,27.8,36295080,32.8,32.8,176665,35.8,23.4,16837064,65.7,65.7,625449,58.4,55.2
"2022-10-12","Race_eth_Hispanic",41585331,20.9,15.7,33916685,19.8,15.7,35364311,19.9,15.6,63753844,51529,15.6,37074,12,15078054,15.4,13.6,50896,11.9,19.9,2001705,8.7,7.8,67696,7.1,11.9
"2022-10-12","Race_eth_known",198987643,99.9,75.1,171125117,99.9,79.2,177454501,99.9,78.5,,329634,99.9,309797,99.9,98141892,99.9,88.6,427188,99.9,99.9,22920449,99.9,89.5,956004,99.9,99.9
"2022-10-12","Race_eth_NHAIAN",1838479,0.9,0.7,1478367,0.9,0.7,1528285,0.9,0.7,2435259,3629,1.1,3017,1,718266,0.7,0.6,4389,1,0.9,133570,0.6,0.5,5711,0.6,0.6
"2022-10-12","Race_eth_NHAsian",13434294,6.8,5.1,11934876,7,5.5,12064433,6.8,5.3,18995687,29246,8.9,25995,8.4,8169041,8.3,7.4,28788,6.7,6.8,1385982,6,5.4,45287,4.7,5.8
"2022-10-12","Race_eth_NHBlack",20511981,10.3,7.7,17388431,10.2,8,17965075,10.1,7.9,41215391,34096,10.3,29126,9.4,8362983,8.5,7.6,42721,10,10.1,1739565,7.6,6.8,77005,8.1,9
"2022-10-12","Race_eth_NHMultiracial",4177372,2.1,1.6,4143799,2.4,1.9,4171374,2.4,1.8,7341973,2884,0.9,5136,1.7,2867330,2.9,2.6,10926,2.6,2.3,784295,3.4,3.1,24884,2.6,2.8
"2022-10-12","Race_eth_NHNHOPI",647624,0.3,0.2,561622,0.3,0.3,582301,0.3,0.3,928634,893,0.3,817,0.3,286974,0.3,0.3,1080,0.3,0.3,48803,0.2,0.2,1595,0.2,0.2
"2022-10-12","Race_eth_NHWhite",108905897,54.7,41.1,95384108,55.7,44.2,99160825,55.9,43.8,197338043,197065,59.8,199146,64.3,59520025,60.6,53.8,276171,64.6,55.9,16257001,70.9,63.4,710334,74.3,66.5
"2022-10-12","Race_eth_unknown",66123828,33.2,24.9,44908424,26.2,20.8,48746247,27.5,21.5,,124711,37.8,67053,21.6,12567474,12.8,11.4,65954,15.4,27.5,2703034,11.8,10.5,115731,12.1,12.9
"2022-10-12","Sex_Female",137076627,52.2,51.7,113539040,52.9,52.6,117653811,52.4,52,168546343,237670,53.5,199556,53.1,60345508,54.6,54.5,264376,53.7,52.4,14207491,55.5,55.4,598571,55.9,54.6
"2022-10-12","Sex_known",262804222,99.9,99.1,214696784,99.9,99.4,224688527,99.9,99.3,,444161,99.9,375928,99.9,110504767,99.9,99.8,492494,99.9,99.9,25601051,99.9,99.9,1070820,99.9,99.9
"2022-10-12","Sex_Male",125727595,47.8,47.4,101157744,47.1,46.8,107034716,47.6,47.3,163462489,206491,46.5,176372,46.9,50159259,45.4,45.3,228118,46.3,47.6,11393560,44.5,44.5,472249,44.1,45.4
"2022-10-12","Sex_unknown",2307267,0.9,0.9,1336766,0.6,0.6,1512228,0.7,0.7,,10184,2.3,922,0.2,204599,0.2,0.2,648,0.1,0.7,22432,0.1,0.1,915,0.1,0.2
"2022-10-12","US",265111489,,100,216033550,,100,226200755,,100,332008832,454345,,376850,,110709366,,100,493142,,,25623483,,100,1071735,,
