"Date","Location","ShortName","LongName","Administered_Daily","Administered_Cumulative","Administered_7_Day_Rolling_Average","Admin_Dose_1_Daily","Admin_Dose_1_Cumulative","Admin_Dose_1_Day_Rolling_Average","Series_Complete_Daily","Series_Complete_Cumulative","Series_Complete_Day_Rolling_Average","date_type","Administered_daily_change_report","Administered_daily_change_report_7dayroll"
"2022-12-25","US","USA","United States",2431,664955429,193975,1127,268412466,25620,164,229314914,17085,"Admin",,
"2020-12-14","US","USA","United States",4817,48600,24300,4626,40051,20026,157,9424,4712,"Admin",,
"2022-11-24","US","USA","United States",5682,656477499,316071,1089,267424844,35883,517,228610751,26034,"Admin",,
"2021-12-25","US","USA","United States",6950,513738661,1177431,2097,242161938,281813,1038,209103026,147906,"Admin",,
"2023-01-01","US","USA","United States",9254,666164125,172671,2115,268585088,24660,722,229424929,15716,"Admin",,
"2023-02-21","US","USA","United States",9370,671582379,44276,1840,269459752,8272,1187,229996296,5268,"Admin",,
"2020-12-25","US","USA","United States",12802,2868856,273850,12608,2797514,268051,133,23711,1620,"Admin",,
"2023-02-19","US","USA","United States",12950,671542426,59333,2930,269452272,11124,1339,229991678,7070,"Admin",,
"2022-09-05","US","USA","United States",13023,612992282,82654,3780,263095529,23065,2021,225203205,16256,"Admin",,
"2022-07-04","US","USA","United States",13271,600133994,184544,4066,260225972,49452,1930,223426033,21184,"Admin",,
"2023-02-12","US","USA","United States",18372,671127092,74182,4241,269374406,13689,2043,229942189,8851,"Admin",,
"2023-02-05","US","USA","United States",22098,670607816,80782,5289,269278584,14564,2620,229880230,9428,"Admin",,
"2023-01-29","US","USA","United States",26829,670042343,96551,6149,269176637,16653,2955,229814235,10610,"Admin",,
"2023-02-18","US","USA","United States",28529,671529476,60108,5845,269449342,11311,3094,229990339,7170,"Admin",,
"2021-11-25","US","USA","United States",29306,468390464,1295707,8743,232349848,374543,5516,201107981,122774,"Admin",,
"2023-01-22","US","USA","United States",29806,669366485,112761,6200,269060068,18128,2905,229739964,11627,"Admin",,
"2023-02-20","US","USA","United States",30583,671573009,52855,5640,269457912,9886,3431,229995109,6305,"Admin",,
"2022-05-30","US","USA","United States",32102,591638729,293419,5905,258672255,37179,4264,222434744,32273,"Admin",,
"2022-08-28","US","USA","United States",38231,612273118,140141,10434,262898746,35289,7239,225064719,24241,"Admin",,
"2022-12-24","US","USA","United States",38749,664952998,209844,6641,268411339,27707,4150,229314750,18486,"Admin",,
"2023-02-11","US","USA","United States",41462,671108720,74715,8332,269370165,13839,4767,229940146,8934,"Admin",,
"2023-02-04","US","USA","United States",41841,670585718,81458,8508,269273295,14687,5089,229877610,9476,"Admin",,
"2022-09-04","US","USA","United States",42735,612979259,100877,8951,263091749,27572,6318,225201184,19495,"Admin",,
"2022-08-21","US","USA","United States",43445,611292134,162653,11608,262651723,39184,7634,224895031,26426,"Admin",,
"2020-12-13","US","USA","United States",43783,43783,43783,35425,35425,35425,9267,9267,9267,"Admin",,
"2023-01-15","US","USA","United States",46912,668577155,165875,8411,268933170,23825,4307,229658574,16006,"Admin",,
"2020-12-15","US","USA","United States",47770,96370,32123,46329,86380,28793,322,9746,3249,"Admin",,
"2021-07-04","US","USA","United States",50910,340866351,496233,27983,184238246,241943,27619,164612142,274752,"Admin",,
